                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.42301,                0.55219,                0.45874,                0.81593,                0.98166,                0.91667,                0.96833,                  0.833,                0.98166,                0.91667,                0.96833,                0.88251,                0.37844,                 0.3947,                0.40495,                0.83083,             0.00021671,             0.00021671,             0.00021671
                      2,                0.43572,                0.47278,                0.44694,                 0.8155,                0.77191,                      1,                0.88725,                0.75531,                0.77191,                      1,                0.88725,                0.76346,                0.42836,                0.46018,                0.50664,                0.85631,             0.00042781,             0.00042781,             0.00042781
                      3,                0.44487,                0.47817,                0.43463,                0.82719,                0.76031,                0.88341,                0.84181,                0.70751,                0.76031,                0.88341,                0.84181,                0.76409,                0.44743,                0.44793,                0.64049,                 0.8512,             0.00061581,             0.00061581,             0.00061581
                      4,                0.46926,                0.56783,                0.47451,                0.82155,                0.68668,                      1,                0.80543,                0.69491,                0.68668,                      1,                0.80543,                0.67021,                0.40985,                0.59689,                0.53653,                0.85095,              0.0007807,              0.0007807,              0.0007807
                      5,                0.51305,                0.67757,                0.58922,                0.83698,                0.83759,                      1,                0.95375,                0.77166,                0.83759,                      1,                0.95375,                0.77366,                0.45429,                 0.4267,                0.41091,                 0.8623,             0.00092248,             0.00092248,             0.00092248
                      6,                0.48962,                0.61386,                0.52755,                0.84217,                0.86489,                0.72619,                0.82709,                0.73412,                0.86489,                0.72619,                0.82709,                 0.7451,                0.49277,                0.43957,                 1.1959,                0.88963,              0.0010412,              0.0010412,              0.0010412
                      7,                0.48864,                0.61937,                0.58738,                0.83969,                0.91359,                0.85855,                0.85395,                0.69218,                0.91359,                0.85855,                0.85395,                0.68542,                0.48931,                0.65661,                0.95981,                0.89827,              0.0011367,              0.0011367,              0.0011367
                      8,                0.48467,                0.66978,                0.51381,                 0.8292,                0.90337,                0.81374,                0.93112,                0.75619,                0.90337,                0.81374,                0.93112,                0.82036,                0.47772,                0.41903,                0.47814,                 0.8952,              0.0010894,              0.0010894,              0.0010894
                      9,                0.50084,                0.65804,                0.56728,                0.85471,                0.96975,                0.91539,                0.94929,                0.75856,                0.96975,                0.91539,                0.94929,                0.77061,                0.55727,                0.50251,                0.68385,                0.92168,              0.0010894,              0.0010894,              0.0010894
                     10,                0.49965,                0.62236,                0.47681,                0.84798,                0.93412,                0.66667,                0.74367,                0.56964,                0.93412,                0.66667,                0.74367,                0.59169,                0.58455,                 1.2581,                0.75548,                0.92797,              0.0010069,              0.0010069,              0.0010069
                     11,                0.42171,                0.58012,                0.45974,                0.81224,                0.64314,                0.61905,                0.67385,                0.59262,                0.64314,                0.61905,                0.67385,                0.56338,                 0.5123,                0.55478,                0.83492,                0.92201,             0.00092435,             0.00092435,             0.00092435
                     12,                 0.4369,                0.62065,                0.44963,                0.83676,                0.89603,                0.62965,                0.65286,                0.52201,                0.89603,                0.62965,                0.65158,                0.51328,                0.87163,                 1.6206,                 2.0576,                 1.1002,             0.00084184,             0.00084184,             0.00084184
                     13,                0.43144,                0.49563,                0.48974,                0.83494,                0.89905,                 0.7758,                0.87678,                0.72007,                0.89687,                0.78595,                0.85299,                 0.7362,                0.51164,                0.80493,                 1.2596,                0.91175,             0.00075932,             0.00075932,             0.00075932
                     14,                0.43414,                0.57377,                0.45076,                0.83346,                0.86553,                0.78021,                0.89093,                0.80332,                0.86553,                0.78021,                0.89093,                  0.788,                 0.4141,                0.46388,                 0.6186,                0.87323,              0.0006768,              0.0006768,              0.0006768
                     15,                0.38912,                0.44657,                0.41528,                0.81727,                0.90081,                      1,                0.98357,                0.87268,                0.90081,                      1,                0.98357,                0.88595,                0.36815,                0.37174,                0.43654,                0.86387,             0.00059429,             0.00059429,             0.00059429
                     16,                0.39315,                0.55199,                 0.4157,                0.80325,                0.90719,                      1,                0.97143,                0.83182,                0.90719,                      1,                0.97143,                0.87239,                0.41317,                0.36282,                 0.3884,                0.84575,             0.00051177,             0.00051177,             0.00051177
                     17,                0.37067,                0.45186,                0.38004,                0.79021,                0.98134,                      1,                  0.995,                0.90383,                0.98134,                      1,                  0.995,                0.90032,                0.37423,                0.35178,                0.35962,                0.84812,             0.00042925,             0.00042925,             0.00042925
                     18,                0.35725,                0.52398,                0.35923,                0.79947,                0.97492,                      1,                  0.995,                0.88412,                0.97492,                      1,                  0.995,                0.90529,                0.38558,                0.36441,                0.37354,                0.85485,             0.00034674,             0.00034674,             0.00034674
                     19,                 0.3655,                0.44033,                0.36616,                0.80948,                0.90747,                      1,                0.95929,                0.86377,                0.90747,                      1,                0.95929,                0.85753,                0.38267,                0.35289,                 0.3562,                0.85668,             0.00026422,             0.00026422,             0.00026422
                     20,                0.35926,                0.49069,                0.37876,                0.79692,                 0.9798,                      1,                  0.995,                0.91747,                 0.9798,                      1,                  0.995,                 0.9212,                 0.3652,                0.35543,                0.31632,                0.85454,              0.0001817,              0.0001817,              0.0001817
